timestamp,contract_code,contract_name,interval_min,close,open,high,low,volume,open_interest,open_interest_change
2026-09-09 12:35:00,A016C000,F 202612,10,1119.9,1120.85,1121.45,1119.8,210.0,97628.0,49.0
2026-09-09 12:45:00,A016C000,F 202612,10,1113.1,1119.55,1119.55,1112.9,433.0,98261.0,633.0
2026-09-09 12:55:00,A016C000,F 202612,10,1116.55,1113.35,1117.3,1112.95,337.0,99327.0,1066.0
2026-09-09 13:05:00,A016C000,F 202612,10,1112.0,1116.55,1117.25,1111.65,286.0,100077.0,750.0
2026-09-09 13:15:00,A016C000,F 202612,10,1117.05,1112.0,1117.4,1110.4,384.0,100871.0,794.0
2026-09-09 13:25:00,A016C000,F 202612,10,1118.85,1116.7,1119.5,1115.1,334.0,101622.0,751.0
2026-09-09 13:35:00,A016C000,F 202612,10,1120.15,1118.95,1120.35,1118.35,223.0,102363.0,741.0
2026-09-09 13:45:00,A016C000,F 202612,10,1120.3,1120.0,1120.75,1119.0,284.0,103045.0,682.0
2026-09-09 13:55:00,A016C000,F 202612,10,1118.8,1120.2,1120.7,1116.75,356.0,104040.0,995.0
2026-09-09 14:05:00,A016C000,F 202612,10,1118.65,1118.75,1120.65,1117.55,309.0,104642.0,602.0
2026-09-09 14:15:00,A016C000,F 202612,10,1111.9,1118.5,1118.8,1109.3,598.0,105318.0,676.0
2026-09-09 14:25:00,A016C000,F 202612,10,1114.85,1112.4,1114.9,1111.25,400.0,106306.0,988.0
2026-09-09 14:35:00,A016C000,F 202612,10,1116.15,1114.85,1116.65,1112.45,800.0,106910.0,604.0
2026-09-09 14:45:00,A016C000,F 202612,10,1118.25,1115.9,1119.2,1115.8,412.0,107533.0,623.0
2026-09-09 14:55:00,A016C000,F 202612,10,1119.0,1118.55,1120.3,1117.0,676.0,108466.0,933.0
2026-09-09 15:05:00,A016C000,F 202612,10,1117.15,1118.8,1119.15,1115.85,532.0,108955.0,489.0
2026-09-09 15:15:00,A016C000,F 202612,10,1117.9,1117.3,1118.55,1116.3,649.0,109360.0,405.0
2026-09-09 15:25:00,A016C000,F 202612,10,1119.6,1117.85,1120.0,1117.55,1016.0,110049.0,689.0
2026-09-09 15:45:00,A016C000,F 202612,10,1119.0,1119.0,1119.0,1119.0,336.0,109926.0,-123.0
2026-09-10 08:45:00,A016C000,F 202612,10,1114.05,1113.1,1114.65,1108.2,1770.0,110217.0,291.0
2026-09-10 08:55:00,A016C000,F 202612,10,1120.35,1114.0,1120.35,1112.6,1997.0,110236.0,19.0
2026-09-10 09:05:00,A016C000,F 202612,10,1110.65,1120.35,1120.55,1108.6,2253.0,110951.0,715.0
2026-09-10 09:15:00,A016C000,F 202612,10,1112.45,1110.6,1114.25,1108.65,2059.0,111394.0,443.0
2026-09-10 09:25:00,A016C000,F 202612,10,1108.15,1112.4,1113.35,1106.65,2128.0,111793.0,399.0
2026-09-10 09:35:00,A016C000,F 202612,10,1103.7,1108.3,1109.65,1101.3,1921.0,112379.0,586.0
2026-09-10 09:45:00,A016C000,F 202612,10,1102.15,1103.6,1105.85,1100.55,2177.0,112861.0,482.0
2026-09-10 09:55:00,A016C000,F 202612,10,1100.15,1102.25,1102.9,1096.85,3090.0,113163.0,302.0
2026-09-10 10:05:00,A016C000,F 202612,10,1092.4,1100.2,1101.0,1091.4,2817.0,113251.0,88.0
2026-09-10 10:15:00,A016C000,F 202612,10,1094.1,1092.45,1095.85,1090.4,2961.0,113993.0,742.0
2026-09-10 10:25:00,A016C000,F 202612,10,1091.4,1093.95,1094.7,1090.3,2151.0,114820.0,827.0
2026-09-10 10:35:00,A016C000,F 202612,10,1096.3,1091.35,1096.7,1090.2,1994.0,115032.0,212.0
2026-09-10 10:45:00,A016C000,F 202612,10,1094.75,1096.3,1098.3,1093.65,1655.0,115354.0,322.0
2026-09-10 10:55:00,A016C000,F 202612,10,1097.9,1094.5,1099.95,1094.45,1409.0,115755.0,401.0
2026-09-10 11:05:00,A016C000,F 202612,10,1101.35,1097.95,1101.55,1096.25,1310.0,116130.0,375.0
2026-09-10 11:15:00,A016C000,F 202612,10,1100.35,1101.45,1103.25,1098.05,1367.0,116471.0,341.0
2026-09-10 11:25:00,A016C000,F 202612,10,1103.65,1100.2,1103.65,1098.95,1048.0,116986.0,515.0
2026-09-10 11:35:00,A016C000,F 202612,10,1104.4,1103.5,1106.4,1103.0,880.0,117379.0,393.0
2026-09-10 11:45:00,A016C000,F 202612,10,1105.85,1104.35,1106.5,1103.95,965.0,117655.0,276.0
2026-09-10 11:55:00,A016C000,F 202612,10,1107.7,1105.75,1107.7,1102.85,1165.0,118112.0,457.0
2026-09-10 12:05:00,A016C000,F 202612,10,1108.05,1107.5,1110.0,1105.7,1325.0,118667.0,555.0
2026-09-10 12:15:00,A016C000,F 202612,10,1106.55,1108.0,1109.15,1105.4,1385.0,119385.0,718.0
2026-09-10 12:25:00,A016C000,F 202612,10,1108.25,1106.55,1108.8,1106.5,804.0,119735.0,350.0
2026-09-10 12:35:00,A016C000,F 202612,10,1108.2,1108.0,1108.75,1105.9,1222.0,120311.0,576.0
2026-09-10 12:45:00,A016C000,F 202612,10,1108.3,1108.3,1110.95,1107.15,1105.0,121129.0,818.0
2026-09-10 12:55:00,A016C000,F 202612,10,1108.4,1108.3,1108.65,1106.65,949.0,121381.0,252.0
2026-09-10 13:05:00,A016C000,F 202612,10,1109.15,1108.55,1109.95,1107.15,937.0,121612.0,231.0
2026-09-10 13:15:00,A016C000,F 202612,10,1110.0,1109.05,1110.7,1108.1,816.0,121929.0,317.0
2026-09-10 13:25:00,A016C000,F 202612,10,1113.15,1109.8,1113.15,1109.6,747.0,122188.0,259.0
2026-09-10 13:35:00,A016C000,F 202612,10,1112.5,1113.3,1114.8,1111.7,798.0,122687.0,499.0
2026-09-10 13:45:00,A016C000,F 202612,10,1115.6,1112.45,1116.2,1111.2,1044.0,123030.0,343.0
2026-09-10 13:55:00,A016C000,F 202612,10,1113.6,1115.7,1117.1,1113.25,1062.0,123219.0,189.0
2026-09-10 14:05:00,A016C000,F 202612,10,1114.7,1113.55,1115.4,1112.95,806.0,123512.0,293.0
2026-09-10 14:15:00,A016C000,F 202612,10,1115.3,1114.55,1116.35,1114.0,709.0,123674.0,162.0
2026-09-10 14:25:00,A016C000,F 202612,10,1119.7,1115.3,1119.95,1114.75,1201.0,123888.0,214.0
2026-09-10 14:35:00,A016C000,F 202612,10,1118.85,1119.75,1120.85,1116.9,1622.0,124469.0,581.0
2026-09-10 14:45:00,A016C000,F 202612,10,1115.45,1118.7,1119.85,1113.0,1811.0,124834.0,365.0
2026-09-10 14:55:00,A016C000,F 202612,10,1117.8,1115.45,1118.0,1114.15,1664.0,125152.0,318.0
